TARGETID,TILEID,FIBER,TARGET_RA,TARGET_DEC,VI_Z,VI_QUALITY,VI_SPECTYPE
39627823488435874,80609,268,150.3233384823299,1.5367017533246017,0.6798,4.0,GALAXY
39627823488435961,80609,254,150.32659647639815,1.4942208710618574,0.2653,4.0,GALAXY
39627823488436767,80609,4850,150.3586511608474,1.5473827497468469,0.5256,4.0,GALAXY
39627823488437447,80609,4588,150.38997579542226,1.4691420933076913,0.6784,4.0,GALAXY
39627823488437585,80609,4853,150.39709151391713,1.52011588831416,0.5269,4.0,GALAXY
39627823488437848,80609,4870,150.4095781225959,1.5694945924387034,0.8681,4.0,GALAXY
39627823488437875,80609,4860,150.41059391534975,1.6026738521664097,0.2271,4.0,GALAXY
39627823488438202,80609,4553,150.4277117018355,1.4123010633095088,0.3487,4.0,GALAXY
39627823488438336,80609,4565,150.43559263582702,1.4918925512521204,0.9241,4.0,GALAXY
39627823488438373,80609,4874,150.43747409423136,1.5698058237169763,0.8183,4.0,GALAXY
39627823488438441,80609,4552,150.44182315060613,1.5474146435270355,0.5234,4.0,GALAXY
39627823488438583,80609,4875,150.44890379142635,1.616375728037857,0.8389,3.0,GALAXY
39627823488439028,80609,4650,150.47290528660085,1.552573536141285,0.7375,4.0,GALAXY
39627823488439173,80609,4572,150.4796716840925,1.5209735118786745,0.7323,4.0,GALAXY
39627823492628640,80609,4696,150.50598033517227,1.6121021882537387,0.2058,4.0,GALAXY
39627823492628690,80609,4654,150.5080169782861,1.575443334459966,0.7809,4.0,GALAXY
39627823492629302,80609,4663,150.5353531171551,1.4732189196058445,0.3699,4.0,GALAXY
39627823492629366,80609,4692,150.53802238298704,1.4981433484048357,1.1894,4.0,GALAXY
39627823492629425,80609,4574,150.54109284832177,1.4234021428279964,1.1501,4.0,GALAXY
39627823492629997,80609,4584,150.56914190957508,1.394382914233712,0.5766,4.0,GALAXY
39627823492630024,80609,4691,150.57016458420446,1.4535519395859509,0.9681,4.0,GALAXY
39627823492630443,80609,4680,150.59078572895334,1.5613187324073627,1.0168,4.0,GALAXY
39627823492630705,80609,4957,150.60368544130137,1.4232540586412277,1.061,3.0,GALAXY
39627823492630990,80609,4666,150.61481476447037,1.4595994652654662,0.778,4.0,GALAXY
39627823492631053,80609,4653,150.61759983532127,1.5855526503786823,0.7371,4.0,GALAXY
39627823492631812,80609,4959,150.64803620943812,1.4877218702914188,0.3708,4.0,GALAXY
39627823492632565,80609,4971,150.67812501965187,1.404448160148562,0.6701,4.0,GALAXY
39627823492633208,80609,4995,150.70136124057598,1.386953196213727,0.8505,4.0,GALAXY
39627823492633310,80609,4658,150.7048225554077,1.6099460783869888,0.7974,4.0,GALAXY
39627823492633800,80609,4970,150.72380237701137,1.463448012333587,0.9283,4.0,GALAXY
39627823496823067,80609,4976,150.75932543512434,1.456069144053845,0.3611,4.0,GALAXY
39627823496823437,80609,4773,150.77635057623397,1.6075258097679082,0.2154,4.0,GALAXY
39627823496824033,80609,4799,150.80543025678645,1.516691752961714,0.9494,4.0,GALAXY
39627823496824586,80609,4785,150.82990158606654,1.4950308284601233,0.3613,4.0,GALAXY
39627823496825008,80609,4643,150.85085543348964,1.4121081633050576,0.9659,4.0,GALAXY
39627823496825211,80609,4646,150.86065822419002,1.3800731316159691,0.993,4.0,GALAXY
39627823496825313,80609,4946,150.8646656066226,1.4634535311690626,1.0087,4.0,GALAXY
39627823496825943,80609,4907,150.8949106354424,1.4279927716718548,0.4714,4.0,GALAXY
39627823496826143,80609,4940,150.90518561064226,1.5574181154775002,0.9722,4.0,GALAXY
39627823496826466,80609,4758,150.9188469423076,1.602929118613652,0.7754,3.5,GALAXY
39627823496826487,80609,4916,150.91949069989786,1.5191590688630292,1.0795,4.0,GALAXY
39627823496827569,80609,4945,150.96961584791515,1.3918561144216344,0.8203,4.0,GALAXY
39627823496827691,80609,4921,150.97571906088703,1.517084484584449,0.3349,4.0,GALAXY
39627823496827813,80609,4911,150.9812295028952,1.4756138907634042,0.9252,3.0,GALAXY
39627823501017542,80609,4930,151.01689503501692,1.4962147331464373,0.8825,4.0,GALAXY
39627823501018191,80609,4902,151.0461784599684,1.4607560803322917,0.7797,4.0,GALAXY
39627823501018689,80609,4842,151.07342682501377,1.433737206238273,0.9333,4.0,GALAXY
39627823501019002,80609,4822,151.09055571649992,1.4829529903200094,0.9238,4.0,GALAXY
39627823501019114,80609,4409,151.09703759191777,1.5672201700243324,0.6618,4.0,GALAXY
39627823501019487,80609,4418,151.1137004761472,1.599412201417515,0.8426,4.0,GALAXY
39627823501020097,80609,4176,151.14533568765935,1.5338598684019094,0.9384,3.5,GALAXY
39627823501020690,80609,4801,151.17877770089257,1.3779313377459468,1.084,4.0,GALAXY
39627823501021928,80609,4180,151.24196547505844,1.5270908569210262,0.8424,4.0,GALAXY
39627823505211431,80609,4151,151.25086248073958,1.5633489600794903,0.9382,4.0,GALAXY
39627823505211737,80609,4169,151.26617847936734,1.456066664549561,0.8375,4.0,GALAXY
39627823505212121,80609,4035,151.283862158255,1.6178769357855982,0.9798,4.0,GALAXY
39627823505212955,80609,4162,151.32587685639342,1.4225254061388055,0.785,4.0,GALAXY
39627823505213080,80609,4163,151.33146853710352,1.5846777332778543,0.4202,4.0,GALAXY
39627823505213087,80609,4165,151.33195875325129,1.501879562219801,0.9312,4.0,GALAXY
39627823505213443,80609,4365,151.3496350569458,1.540305112294729,0.8103,4.0,GALAXY
39627823505213538,80609,4383,151.3553950066716,1.5987138497004525,1.0781,4.0,GALAXY
39627823505213816,80609,4397,151.37310439450596,1.5831311138505069,0.6894,4.0,GALAXY
39627823505214008,80609,4364,151.3849670059958,1.501815357417939,1.4524,4.0,GALAXY
39627823505214197,80609,4350,151.3955454399889,1.5454683487997367,1.0871,4.0,GALAXY
39627823505214528,80609,4380,151.41819335424742,1.571307619225142,0.8306,4.0,GALAXY
39627823505214764,80609,4396,151.4309540171765,1.543005071038905,0.8285,3.0,GALAXY
39627823505215264,80609,4394,151.45773783621092,1.5082553664050808,0.9617,3.0,GALAXY
39627823505215712,80609,4360,151.48443503790776,1.5082083882578847,0.856,4.0,GALAXY
39627823509406287,80609,4370,151.5368037958449,1.5034613702082302,0.8111,4.0,GALAXY
39627823509406449,80609,4295,151.54653414503335,1.6110357390234489,1.1358,4.0,GALAXY
39627823509407288,80609,4051,151.59671354184712,1.6133786315818344,1.0838,4.0,GALAXY
39627829498873799,80609,1480,148.600573423963,1.874182317079799,0.6652,4.0,GALAXY
39627829498874111,80609,1201,148.61809588527206,1.8428981967842308,0.8007,4.0,GALAXY
39627829498874389,80609,1070,148.6330759356962,1.7116771593754057,0.4804,4.0,GALAXY
39627829498874582,80609,1236,148.6428026208308,1.824359773305484,0.664,4.0,GALAXY
39627829498874816,80609,1055,148.65458567494738,1.700668670001117,0.9344,3.0,GALAXY
39627829498875400,80609,1204,148.68377215525462,1.858064274597211,1.0036,4.0,GALAXY
39627829498875434,80609,1244,148.68564611659485,1.753511471234764,0.7417,4.0,GALAXY
39627829498876070,80609,1067,148.72068985835637,1.7106050906712496,0.7817,4.0,GALAXY
39627829498876146,80609,1242,148.7247115987003,1.7794985975788824,0.9785,2.0,GALAXY
39627829498876275,80609,1076,148.7313129562019,1.657530995266176,0.6174,4.0,GALAXY
39627829503066303,80609,1235,148.7581532658618,1.782117701925567,0.5726,4.0,GALAXY
